References	Quantity	Manufacturer	Part Number	Description	Digikey	Mouser	RS	Newark	Farnell
U2	1	Maxim Integrated	MAX2606EUT+T	VCO	MAX2606EUT+TCT-ND	MAX2606EUT+T			2517284
R1, R2	2	Panasonic	ERJ-6ENF1001V	1.1k 0805	P1.00KCCT-ND	ERJ-6ENF1001V	7326037	64R5369	2303550
L1	1	Murata	LQW2BASR39J00L	390nH	490-5673-1-ND	LQW2BASR39J00L	8390976		2219340
U1	1	Diodes Inc.	AP2210N-3.3TRG1	3.3V regulator	AP2210N-3.3TRG1DICT-ND	AP2210N-3.3TRG1	8287426		
MK1	1	CUI	CMC-5042PF-AC	Microphone	102-1724-ND	CMC-5042PF-AC			
R3	1	Yageo	RC0805FR-072K2L	2.2k 0805	311-2.20KCRCT-ND	RC0805FR-072K2L	6182928	68R0236	2459315
C4, C5	2	Yageo	CC0805JRNPO9BN102	1nF 0805 NP0	311-1122-1-ND	CC0805JRNPO9BN102	6698899	68R4850	718567
C1, C3	2	Yageo	CC0805KKX7R7BB225	2.2uF 0805 X7R	311-1881-1-ND	CC0805KKX7R7BB225		65R8872	
VR1	1	BI Technologies	44WR10KLFT7	10k pot	987-1046-1-ND	44WR10KLFT7		16M0773	2411389
