Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Digi-Key],SKU [Digi-Key],Packaging [Digi-Key],Unit Price (@ Batch Size: 1) [Digi-Key],Line Total [Digi-Key],Batch Total [Digi-Key],In Stock [Digi-Key],MOQ [Digi-Key],URL [Digi-Key],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
1,MAX2606EUT+T,Maxim Integrated,MAX2606EUT+T,https://octopart.com/max2606eut%2Bt-maxim+integrated-42975119,U2,,VCO,1,MAX2606EUT+TCT-ND,MAX2606EUT+T,,Cut Tape,,,2.16,2.12,,1389,1170,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0226d20&sid=459&ppid=42975119&vpid=136529550&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=029d2fb&sid=2401&ppid=42975119&vpid=115533392&ct=offers,,Digi-Key,MAX2606EUT+TCT-ND,Cut Tape,2.16,2.16,2.16,1389,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0226d20&sid=459&ppid=42975119&vpid=136529550&ct=offers,
2,ERJ-6ENF1001V,Panasonic,ERJ-6ENF1001V,https://octopart.com/erj-6enf1001v-panasonic-55422300,"R1, R2",,1.1k 0805,2,P1.00KCCT-ND,ERJ-6ENF1001V,,Cut Tape,,,0.1,0.11,,1585958,455789,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0acc620&sid=459&ppid=55422300&vpid=188062513&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=05eadc8&sid=2401&ppid=55422300&vpid=187840501&ct=offers,,Digi-Key,P1.00KCCT-ND,Cut Tape,0.1,0.2,0.2,1585958,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0acc620&sid=459&ppid=55422300&vpid=188062513&ct=offers,
1,LQW2BASR39J00L,Murata,LQW2BASR39J00L,https://octopart.com/lqw2basr39j00l-murata-19973717,L1,,390nH,1,490-5673-1-ND,LQW2BASR39J00L,,Cut Tape,,,0.25,0.25,,5471,2835,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=00b4c68&sid=459&ppid=19973717&vpid=37235094&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=01818fe&sid=2401&ppid=19973717&vpid=38925896&ct=offers,,Digi-Key,490-5673-1-ND,Cut Tape,0.25,0.25,0.25,5471,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=00b4c68&sid=459&ppid=19973717&vpid=37235094&ct=offers,
1,AP2210N-3.3TRG1,Diodes Inc.,AP2210N-3.3TRG1,https://octopart.com/ap2210n-3.3trg1-diodes+inc.-30954633,U1,,3.3V regulator,1,AP2210N-3.3TRG1DICT-ND,AP2210N-3.3TRG1,,Cut Tape,,,0.42,0.49,,14704,10447,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=08214f7&sid=459&ppid=30954633&vpid=95776291&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=009c822&sid=2401&ppid=30954633&vpid=177264966&ct=offers,,Digi-Key,AP2210N-3.3TRG1DICT-ND,Cut Tape,0.42,0.42,0.42,14704,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=08214f7&sid=459&ppid=30954633&vpid=95776291&ct=offers,
1,CMC-5042PF-AC,CUI,CMC-5042PF-AC,https://octopart.com/cmc-5042pf-ac-cui-19029063,MK1,,Microphone,1,102-1724-ND,CMC-5042PF-AC,,Bulk,,,1.4,1.39,,13251,3075,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0587113&sid=459&ppid=19029063&vpid=33544842&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0a5c389&sid=2401&ppid=19029063&vpid=192826125&ct=offers,,Digi-Key,102-1724-ND,Bulk,1.4,1.4,1.4,13251,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0587113&sid=459&ppid=19029063&vpid=33544842&ct=offers,
1,RC0805FR-072K2L,Yageo,RC0805FR-072K2L,https://octopart.com/rc0805fr-072k2l-yageo-40953263,R3,,2.2k 0805,1,311-2.20KCRCT-ND,RC0805FR-072K2L,,Cut Tape,,,0.1,0.1,,153617,44252,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=01b3c7f&sid=459&ppid=40953263&vpid=114983291&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=06f1de2&sid=2401&ppid=40953263&vpid=115540579&ct=offers,,Digi-Key,311-2.20KCRCT-ND,Cut Tape,0.1,0.1,0.1,153617,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=01b3c7f&sid=459&ppid=40953263&vpid=114983291&ct=offers,
2,CC0805JRNPO9BN102,Yageo,CC0805JRNPO9BN102,https://octopart.com/cc0805jrnpo9bn102-yageo-42250298,"C4, C5",,1nF 0805 NP0,2,311-1122-1-ND,CC0805JRNPO9BN102,,Cut Tape,,,0.1,0.11,,4000,21805,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0748ef8&sid=459&ppid=42250298&vpid=123244088&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=01bf710&sid=2401&ppid=42250298&vpid=115161125&ct=offers,,Digi-Key,311-1122-1-ND,Cut Tape,0.1,0.2,0.2,4000,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0748ef8&sid=459&ppid=42250298&vpid=123244088&ct=offers,
2,CC0805KKX7R7BB225,Yageo,CC0805KKX7R7BB225,https://octopart.com/cc0805kkx7r7bb225-yageo-11543700,"C1, C3",,2.2uF 0805 X7R,2,311-1881-1-ND,CC0805KKX7R7BB225,,Cut Tape,,,0.16,0.15,,2127,30074,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0cc3446&sid=459&ppid=11543700&vpid=193846730&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0f70a9c&sid=2401&ppid=11543700&vpid=46539977&ct=offers,,Digi-Key,311-1881-1-ND,Cut Tape,0.16,0.32,0.32,2127,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0cc3446&sid=459&ppid=11543700&vpid=193846730&ct=offers,
1,44WR10KLFT7,BI Technologies,44WR10KLFT7,https://octopart.com/44wr10klft7-bi+technologies-2153410,VR1,,10k pot,1,987-1046-1-ND,44WR10KLFT7,,Cut Tape,,,2.76,2.45,,3043,3155,,1,,,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=080b403&sid=459&ppid=2153410&vpid=34072247&ct=offers,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=0419ebb&sid=2401&ppid=2153410&vpid=115538173&ct=offers,,Digi-Key,987-1046-1-ND,Cut Tape,2.76,2.76,2.76,3043,1,https://octopart-clicks.com/click/track?country=CA&ak=68b25f31&sig=080b403&sid=459&ppid=2153410&vpid=34072247&ct=offers,
